,track_id,track_name,album,artist,artist_id,release_date,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5r05D8kSXIY0mCy0HI0r7L,I Go To The Rock (with Georgia Mass Choir),I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,5r05D8kSXIY0mCy0HI0r7L,0.583,0.892,-3.131,0.0501,0.332,0,0.326,0.597,127.748
1,5AlGpKEfwDgjBJkNDiBYYc,Jesus Loves Me,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,5AlGpKEfwDgjBJkNDiBYYc,0.527,0.529,-8.441,0.0303,0.544,8.75e-06,0.0604,0.251,134.228
2,7usDpdLfx4eUh0vdb6UZH6,He Can Use Me,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,7usDpdLfx4eUh0vdb6UZH6,0.602,0.607,-6.801,0.0286,0.0055,0,0.105,0.361,108.061
3,2dlJbzCB3M4GsKTHx4JqC4,Joy to the World (with Georgia Mass Choir),I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,2dlJbzCB3M4GsKTHx4JqC4,0.425,0.772,-5.498,0.139,0.606,0,0.139,0.389,85.551
4,767NCpvhtPBaQKsHWEGbHh,"Bridge Over Troubled Water (with CeCe Winans) - Live VH1 Honors - June 22, 1995",I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,767NCpvhtPBaQKsHWEGbHh,0.297,0.85,-4.321,0.153,0.726,3.33e-05,0.981,0.508,146.229
5,5bbmTYR6MazBbd99nBH7zB,Testimony,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,5bbmTYR6MazBbd99nBH7zB,0.626,0.937,-5.747,0.091,0.00206,0,0.0581,0.813,149.771
6,3llyIjhQmPOZxOj6NxizM8,I Look to You,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,3llyIjhQmPOZxOj6NxizM8,0.544,0.349,-8.25,0.0296,0.555,7.02e-06,0.0973,0.0744,101.952
7,65QGMwTh15KhXgqjSCIWSr,His Eye Is On The Sparrow,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,65QGMwTh15KhXgqjSCIWSr,0.375,0.307,-9.877,0.0389,0.96,0.00153,0.158,0.299,115.484
8,5drik4QzTAAmDJZDsy3KgJ,"Hold On, Help Is On The Way (with Georgia Mass Choir)",I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,5drik4QzTAAmDJZDsy3KgJ,0.444,0.896,-5.621,0.357,0.459,0,0.229,0.285,85.891
9,0W51HpLI4UocphHfPUpCuH,"This Day - Live VH1 Honors - June 22, 1995",I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,0W51HpLI4UocphHfPUpCuH,0.309,0.637,-4.184,0.0434,0.914,3.72e-05,0.908,0.316,113.328
10,6xNabIWkH6Ez3uwaDSYMNQ,I Found a Wonderful Way,I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,6xNabIWkH6Ez3uwaDSYMNQ,0.503,0.717,-6.002,0.0488,0.0688,0,0.109,0.575,129.934
11,7035ll76dWsCMQmaY6FOQW,Joy (with Georgia Mass Choir),I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,7035ll76dWsCMQmaY6FOQW,0.557,0.686,-6.377,0.0437,0.671,0,0.246,0.552,77.418
12,1GIuA6P535ZEPx0DnUvSWt,I Love The Lord (with Georgia Mass Choir),I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,1GIuA6P535ZEPx0DnUvSWt,0.268,0.322,-8.158,0.0307,0.702,7.7e-06,0.136,0.0726,107.221
13,7hfDgPS2UJ9KONiLeuqahK,"He / I Believe - Live at Yokohama Arena - January 2, 1990",I Go To The Rock: The Gospel Music Of Whitney Houston,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2023-03-24,7hfDgPS2UJ9KONiLeuqahK,0.392,0.318,-7.907,0.0436,0.781,0,0.0868,0.204,118.705
14,1uMmvZ8fmYUinSVbs5HTpK,I Wanna Dance With Somebody (Who Loves Me),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,1uMmvZ8fmYUinSVbs5HTpK,0.829,0.743,-5.249,0.0556,0.111,0.0213,0.107,0.567,118.999
15,6mlAqqyX2KijOkS3uABXeD,Don't Cry For Me,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,6mlAqqyX2KijOkS3uABXeD,0.601,0.603,-8.483,0.0366,0.00819,0.000114,0.345,0.262,123.972
16,18QfMXWWtbAF03nEPnvu8c,Higher Love,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,18QfMXWWtbAF03nEPnvu8c,0.686,0.631,-8.744,0.0349,0.0149,5.57e-06,0.103,0.384,103.951
