,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,loudness_scaled
0,4OCx4bCttzYoEMGSJU63sp,keep ya head up - lofi,https://p.scdn.co/mp3-preview/48bf972402a2d63aa4bb4de9763c1aa053001ace?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.77,0.286,-14.02,0.122,0.513,0.774,0.678,0.48379600813311774
1,1xerYk8J34Hkl9V2lWXpoo,i get around - lofi,https://p.scdn.co/mp3-preview/cc393d7ffeac4f36d8f2e1ea99b11926d410196f?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.797,0.244,-12.626,0.0449,0.723,0.865,0.0846,0.5416407319805803
2,5iMGs339CUgHrG4dIseJEA,holler if ya' hear me - lofi,https://p.scdn.co/mp3-preview/3e32ebf9c04d916e39d3bd00f01b968a865e1350?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.709,0.0708,-15.458,0.0466,0.677,0.927,0.606,0.42412548238516135
3,4eT2KEIDUEfsobIH5P0877,last wordz - lofi,https://p.scdn.co/mp3-preview/0cd6124064426ba81fcb1d9986c24b716922f9ba?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.857,0.34,-11.756,0.0793,0.456,0.862,0.425,0.5777418150130713
4,0WWtQROcg6LmBKpWqhBUnl,strictly 4 my n.i.g.g.a.z... - lofi,https://p.scdn.co/mp3-preview/85f458c839359862e4964d8a750dbf1462123509?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.772,0.0806,-25.679,0.262,0.195,0.775,0.327,0.0
5,7oXXMuOzIIwWk2oJorK2Sv,papa'z song - lofi,https://p.scdn.co/mp3-preview/5974b917a37138ec4e1a151a202b71fa1ceecb3a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.865,0.294,-16.623,0.0553,0.16,0.828,0.919,0.3757832275198142
6,0IXzSnV1afMv1sjyFKTgxX,the streetz r deathrow - lofi,https://p.scdn.co/mp3-preview/ef11e7aa0f90b309d5230f3184b370feaf7c1d78?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.709,0.128,-24.74,0.0346,0.401,0.684,0.317,0.03896427237644717
7,2UxmUSjLzetCbYjbsivCQ0,point the finga - lofi,https://p.scdn.co/mp3-preview/824fe22fe918b7134bd345d67ae527c0b75d13c1?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.67,0.203,-15.952,0.032,0.586,0.913,0.216,0.40362670650234467
8,1dqJWbyxjiML0T9DCR3NWF,souljah's revenge - lofi,https://p.scdn.co/mp3-preview/5a0f4e3851bc6deff9670852c39501b27e2e7c28?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.718,0.258,-12.982,0.0749,0.665,0.838,0.828,0.526868334785676
9,53eCPmL42JgePQAyWZRxlE,representin' 93 - lofi,https://p.scdn.co/mp3-preview/2dede49a98683928ed4106fda1f8ceca5c8b6d83?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,lonelyboy,3,30pF2pv50VXX6TgiMmKKjc,0.428,0.24,-22.275,0.0367,0.947,0.873,0.373,0.14125067430183835
