	track_id	track_name	preview_url	artist	label	artist_id	danceability	energy	loudness	speechiness	acousticness	instrumentalness	valence	loudness_scaled
0	4OCx4bCttzYoEMGSJU63sp	keep ya head up - lofi	https://p.scdn.co/mp3-preview/48bf972402a2d63aa4bb4de9763c1aa053001ace?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.77	0.286	-14.02	0.122	0.513	0.774	0.678	0.4837960081
1	1xerYk8J34Hkl9V2lWXpoo	i get around - lofi	https://p.scdn.co/mp3-preview/cc393d7ffeac4f36d8f2e1ea99b11926d410196f?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.797	0.244	-12.626	0.0449	0.723	0.865	0.0846	0.541640732
2	5iMGs339CUgHrG4dIseJEA	holler if ya' hear me - lofi	https://p.scdn.co/mp3-preview/3e32ebf9c04d916e39d3bd00f01b968a865e1350?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.709	0.0708	-15.458	0.0466	0.677	0.927	0.606	0.4241254824
3	4eT2KEIDUEfsobIH5P0877	last wordz - lofi	https://p.scdn.co/mp3-preview/0cd6124064426ba81fcb1d9986c24b716922f9ba?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.857	0.34	-11.756	0.0793	0.456	0.862	0.425	0.577741815
4	0WWtQROcg6LmBKpWqhBUnl	strictly 4 my n.i.g.g.a.z... - lofi	https://p.scdn.co/mp3-preview/85f458c839359862e4964d8a750dbf1462123509?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.772	0.0806	-25.679	0.262	0.195	0.775	0.327	0
5	7oXXMuOzIIwWk2oJorK2Sv	papa'z song - lofi	https://p.scdn.co/mp3-preview/5974b917a37138ec4e1a151a202b71fa1ceecb3a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.865	0.294	-16.623	0.0553	0.16	0.828	0.919	0.3757832275
6	0IXzSnV1afMv1sjyFKTgxX	the streetz r deathrow - lofi	https://p.scdn.co/mp3-preview/ef11e7aa0f90b309d5230f3184b370feaf7c1d78?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.709	0.128	-24.74	0.0346	0.401	0.684	0.317	0.0389642724
7	2UxmUSjLzetCbYjbsivCQ0	point the finga - lofi	https://p.scdn.co/mp3-preview/824fe22fe918b7134bd345d67ae527c0b75d13c1?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.67	0.203	-15.952	0.032	0.586	0.913	0.216	0.4036267065
8	1dqJWbyxjiML0T9DCR3NWF	souljah's revenge - lofi	https://p.scdn.co/mp3-preview/5a0f4e3851bc6deff9670852c39501b27e2e7c28?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.718	0.258	-12.982	0.0749	0.665	0.838	0.828	0.5268683348
9	53eCPmL42JgePQAyWZRxlE	representin' 93 - lofi	https://p.scdn.co/mp3-preview/2dede49a98683928ed4106fda1f8ceca5c8b6d83?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.428	0.24	-22.275	0.0367	0.947	0.873	0.373	0.1412506743
10	7eSnf0oL0oc7VFFyPtPUat	something 2 die 4 - interlude - lofi	https://p.scdn.co/mp3-preview/acf6b06b008f1504790c9c2d91a5809d09a9baa0?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.5	0.307	-18.409	0.0322	0.918	0.848	0.105	0.3016722686
11	5HZqI4ziu5pkE4TuPlYJVF	5 deadly venomz - lofi	https://p.scdn.co/mp3-preview/f74d21512a39bd99c1fa72ef8f91175cd75c786a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.649	0.168	-21.172	0.0917	0.869	0.958	0.118	0.1870202083
12	3thVWRxTu22QXcQUvg0vjF	peep game - lofi	https://p.scdn.co/mp3-preview/062a758a4589818a81e40fd7dc655a4d43aeaa06?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.63	0.299	-14.283	0.037	0.726	0.909	0.194	0.4728826922
13	6Ox2QPDvuy7HI39hnptu5V	pac's theme - interlude - lofi	https://p.scdn.co/mp3-preview/70f719785c1aa6464d4836b4033f8f1e76eca8dc?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.835	0.292	-13.117	0.126	0.648	0.874	0.134	0.5212664426
14	4U4vS77UG2ur8G57tieVJl	guess who's back - lofi	https://p.scdn.co/mp3-preview/559922be2a1b5f218fbf7fd442e023fdba6d1c46?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.649	0.461	-20.844	0.0403	0.289	0.796	0.276	0.2006307316
15	0fT5qnJOpMHcBKQBPq4yaT	strugglin' - lofi	https://p.scdn.co/mp3-preview/67fcde8bd385be63a0f1b0f0bf5e0dc09b175cef?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	lonelyboy	3	30pF2pv50VXX6TgiMmKKjc	0.898	0.156	-10.908	0.111	0.303	0.892	0.35	0.6129299971
16	3BvQKIjrOiSBwqlzL10vaC	california love - lofi	https://p.scdn.co/mp3-preview/6eb1a675a9205fccfa3b70221dcaf0082f4be07a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.696	0.237	-11.108	0.0481	0.879	0.821	0.634	0.6046308975
17	6SBbraFHGYGdfgstQxaadp	hit 'em up - lofi	https://p.scdn.co/mp3-preview/6b4150e7035e69495deb00d506e7b76bffb015e8?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.596	0.285	-14.367	0.0426	0.895	0.904	0.303	0.4693970704
18	5Mp8GHegcXGftG4jf8INAg	ambitionz az a ridah - lofi	https://p.scdn.co/mp3-preview/7efa76b90f66a4f2069472124a019d919955bec5?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.821	0.287	-13.427	0.063	0.615	0.863	0.359	0.5084028383
19	48c0IQHjMzz0ZVjObrCs9K	changes - lofi	https://p.scdn.co/mp3-preview/0472938291146c357369cc510bdd7977fa071e8c?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.558	0.0864	-23.825	0.0616	0.863	0.882	0.128	0.0769326528
20	4q8fBzJ7vbtLZRKXow1Pz3	do for love - lofi	https://p.scdn.co/mp3-preview/deb0aa63995e11ceea59ec3ce204faf81dd9cd40?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.728	0.145	-14.349	0.129	0.891	0.761	0.0916	0.4701439894
21	0XQgroArXuNGrAu7M8ThOZ	all eyez on me - lofi	https://p.scdn.co/mp3-preview/73d69914bb96fee20940f0b95a80efb0c826d293?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e	2Pac	3	1ZwdS5xdxEREPySFridCfh	0.687	0.285	-15.456	0.0896	0.712	0.827	0.603	0.4242084734
